customer_id,customer_name,region,total_sales,region_rank
TC-20980,"Tamara Chand",Central,18402.768,1
AB-10105,"Adrian Barton",Central,12181.593999999997,2
BM-11140,"Becky Martin",Central,10539.896,3
SC-20095,"Sanjit Chand",Central,9900.19,4
HM-14860,"Harry Marie",Central,6533.558800000001,5
HW-14935,"Helen Wasserman",Central,6100.746000000001,6
AR-10540,"Andy Reiter",Central,5802.7,7
SB-20290,"Sean Braxton",Central,5579.9400000000005,8
TT-21460,"Tonja Turnell",Central,5301.688,9
LA-16780,"Laura Armstrong",Central,5076.47,10
AA-10315,"Alex Avila",Central,4780.552,11
CP-12085,"Cathy Prescott",Central,4697.37,12
SD-20485,"Shirley Daniels",Central,4559.684,13
KL-16645,"Ken Lonsdale",Central,4517.294999999999,14
PO-19180,"Philisse Overcash",Central,3910.5849999999996,15
ZC-21910,"Zuschuss Carroll",Central,3869.8059999999996,16
DW-13480,"Dianna Wilson",Central,3745.63,17
BE-11335,"Bill Eplett",Central,3501.896,18
HK-14890,"Heather Kirkland",Central,3300.194,19
BM-11650,"Brian Moss",Central,3239.3849999999998,20
RL-19615,"Rob Lucas",Central,3172.707,21
BW-11110,"Bart Watters",Central,3163.534,22
BD-11320,"Bill Donatelli",Central,2924.55,23
CB-12025,"Cassandra Brandow",Central,2903.213,24
AG-10675,"Anna Gayman",Central,2894.3596,25
AS-10285,"Alejandro Savely",Central,2877.908,26
TP-21130,"Theone Pippenger",Central,2861.7560000000003,27
RP-19390,"Resi P̦lking",Central,2860.108,28
TS-21370,"Todd Sumrall",Central,2799.96,29
SC-20020,"Sam Craven",Central,2785.3795999999998,30
CM-12715,"Craig Molinari",Central,2772.1004,31
JE-15745,"Joel Eaton",Central,2757.3779999999997,32
SA-20830,"Sue Ann Reed",Central,2743.0080000000003,33
LF-17185,"Luke Foster",Central,2680.692,34
DK-12895,"Dana Kaydos",Central,2660.624,35
JE-16165,"Justin Ellison",Central,2657.81,36
MH-18115,"Mick Hernandez",Central,2656.137,37
EP-13915,"Emily Phan",Central,2546.4048000000003,38
MP-17965,"Michael Paige",Central,2493.72,39
LP-17095,"Liz Preis",Central,2488.907,40
JK-16090,"Juliana Krohn",Central,2479.96,41
FC-14245,"Frank Carlisle",Central,2377.56,42
SZ-20035,"Sam Zeldin",Central,2368.723,43
AG-10270,"Alejandro Grove",Central,2357.0899999999997,44
TS-21655,"Trudy Schmidt",Central,2345.1139999999996,45
NC-18340,"Nat Carroll",Central,2337.748000000001,46
RD-19660,"Robert Dilbeck",Central,2275.1,47
MP-18175,"Mike Pelletier",Central,2236.556,48
HG-15025,"Hunter Glantz",Central,2132.984,49
DF-13135,"David Flashing",Central,2067.7960000000003,50
RW-19540,"Rick Wilson",Central,2049.534,51
TH-21115,"Thea Hudgings",Central,2027.188,52
MG-17650,"Matthew Grinstein",Central,2017.3719999999998,53
JD-16150,"Justin Deggeller",Central,2005.36,54
SB-20185,"Sarah Brown",Central,1988.078,55
BB-11545,"Brenda Bowman",Central,1971.9099999999999,56
SC-20695,"Steve Chapman",Central,1937.608,57
RA-19915,"Russell Applegate",Central,1931.5779999999997,58
BE-11410,"Bobby Elias",Central,1918.326,59
CL-12565,"Clay Ludtke",Central,1909.0800000000002,60
RB-19465,"Rick Bensley",Central,1893.4060000000002,61
HG-14965,"Henry Goldwyn",Central,1890.866,62
CJ-12010,"Caroline Jumper",Central,1875.128,63
SC-20725,"Steven Cartwright",Central,1841.8120000000001,64
GH-14410,"Gary Hansen",Central,1831.9759999999997,65
SJ-20125,"Sanjit Jacobs",Central,1831.1180000000002,66
JP-15520,"Jeremy Pistek",Central,1830.664,67
IL-15100,"Ivan Liston",Central,1827.2939999999999,68
MH-17455,"Mark Hamilton",Central,1825.0280000000002,69
SN-20710,"Steve Nguyen",Central,1813.5291999999997,70
AC-10450,"Amy Cox",Central,1793.98,71
RO-19780,"Rose O'Brian",Central,1772.306,72
AH-10465,"Amy Hunt",Central,1757.8536,73
SF-20965,"Sylvia Foulston",Central,1756.994,74
NC-18415,"Nathan Cano",Central,1747.23,75
AW-10930,"Arthur Wiediger",Central,1746.4959999999999,76
SL-20155,"Sara Luxemburg",Central,1743.598,77
AA-10480,"Andrew Allen",Central,1739.8600000000001,78
ME-17320,"Maria Etezadi",Central,1737.2559999999999,79
LC-16930,"Linda Cazamias",Central,1719.8099999999997,80
AJ-10945,"Ashley Jarboe",Central,1715.1600000000003,81
KT-16465,"Kean Takahito",Central,1711.7060000000001,82
JO-15145,"Jack O'Briant",Central,1671.93,83
BO-11350,"Bill Overfelt",Central,1655.13,84
KD-16270,"Karen Daniels",Central,1639.496,85
EM-13825,"Elizabeth Moffitt",Central,1621.652,86
CV-12295,"Christina VanderZanden",Central,1614.236,87
RF-19735,"Roland Fjeld",Central,1571.366,88
KM-16375,"Katherine Murray",Central,1569.896,89
RP-19855,"Roy Phan",Central,1543.87,90
SU-20665,"Stephanie Ulpright",Central,1520.914,91
MY-18295,"Muhammed Yedwab",Central,1518.8139999999999,92
AS-10045,"Aaron Smayling",Central,1476.27,93
DJ-13420,"Denny Joy",Central,1454.9,94
EA-14035,"Erin Ashbrook",Central,1443.41,95
AA-10645,"Anna Andreadi",Central,1430.22,96
CM-12235,"Chris McAfee",Central,1426.884,97
DE-13255,"Deanra Eno",Central,1408.1,98
DB-13555,"Dorothy Badders",Central,1407.2048,99
MC-17590,"Matt Collister",Central,1406.917,100
BT-11395,"Bill Tyler",Central,1384.8100000000002,101
AG-10900,"Arthur Gainer",Central,1372.166,102
GH-14485,"Gene Hale",Central,1361.2440000000001,103
KB-16240,"Karen Bern",Central,1347.8519999999999,104
JS-16030,"Joy Smith",Central,1346.9140000000002,105
BP-11185,"Ben Peterman",Central,1344.813,106
BS-11665,"Brian Stugart",Central,1328.128,107
CV-12805,"Cynthia Voltz",Central,1321.0776,108
SN-20560,"Skye Norling",Central,1310.564,109
RH-19600,"Rob Haberlin",Central,1305.81,110
